"M","N","F","C","Message Exchanged","Bytes Transferred","Response Time"
"50.0","30.0","100.0","1.0","200.0","17577.0","16723.04"
"100.0","30.0","100.0","1.0","200.0","16770.0","1664593.0"
"150.0","30.0","100.0","1.0","200.0","19238.0","1687568.0"
"200.0","30.0","100.0","1.0","200.0","18716.0","1322653.0"
"250.0","30.0","100.0","1.0","200.0","35503.0","1354359.0"
"300.0","30.0","100.0","1.0","200.0","29135.0","1576526.0"
"350.0","30.0","100.0","1.0","200.0","31576.0","1542309.0"
"400.0","30.0","100.0","1.0","200.0","40159.0","1576798.0"
"450.0","30.0","100.0","1.0","200.0","33332.0","1391834.0"
"500.0","30.0","100.0","1.0","200.0","39449.0","1113346.0"
"550.0","30.0","100.0","1.0","200.0","23483.0","1402564.0"
"600.0","30.0","100.0","1.0","200.0","49247.0","1558205.0"
"650.0","30.0","100.0","1.0","200.0","44450.0","1311065.0"
"700.0","30.0","100.0","1.0","200.0","45225.0","1573324.0"
"750.0","30.0","100.0","1.0","200.0","51299.0","1275557.0"
"800.0","30.0","100.0","1.0","200.0","39519.0","1253143.0"
